id,customer_id,atendimento_numero,data_contato,canal,atendente,produto,lote,data_fabricacao,local_compra,transportador,nf_produto,natureza_pedido,tipo_reclamacao,descricao,link_reclamacao,acao_orientacao,status,gravidade,custo_estimado,data_fechamento,created_at,updated_at,created_by,order_id
19b3b1b6-3296-4bb4-bc6b-d856a234af77,f119768b-51d0-49ac-84ff-068fe922d285,SAC_212025,2025-11-14 00:00:00+00,Whatsapp,Zazá,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,Pedido devolvido,,Enviamos novamente,aberta,,,,2026-02-27 14:38:11.160429+00,2026-02-27 14:38:11.160429+00,,
10633ba6-5b96-4bca-89e9-4a5ab32139be,2b4632d7-27bf-4075-ac3c-d3f0659fa0e1,SAC_202025,2025-11-19 00:00:00+00,Whatsapp,Zazá,,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,Demora na entrega/Falta de infos,,Enviamos novamente,aberta,,,,2026-02-27 14:38:10.761722+00,2026-02-27 14:38:10.761722+00,,
995ec1c0-5ac8-4859-8b9a-592a8132ab35,d83925e1-9eee-40c0-92ce-99851b9a330b,SAC_242025,2025-11-26 00:00:00+00,Whatsapp,Zazá,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,,Pedido devolvido,,Enviamos novamente,aberta,,,,2026-02-27 14:38:12.459306+00,2026-02-27 14:38:12.459306+00,,
879452ae-4fcc-4642-9d77-bc5fc4f4ce47,4099499c-db4c-45ad-b55a-385a353b3085,SAC_252025,2025-11-26 00:00:00+00,Whatsapp,Zazá,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,,Pedido devolvido,,Enviamos novamente,aberta,,,,2026-02-27 14:38:12.90067+00,2026-02-27 14:38:12.90067+00,,
fed3f411-0b6e-48f8-9cb1-d51ba0d68666,cf8b566e-0576-45f7-abef-eee6a5470b71,SAC_222025,2025-11-26 00:00:00+00,Whatsapp,Zazá,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,Pedido devolvido,,Enviamos novamente,aberta,,,,2026-02-27 14:38:11.579606+00,2026-02-27 14:38:11.579606+00,,
8f193891-58bb-4a05-9e7a-857fcceb4dd3,1d43a6ef-7ca1-4212-a91a-a1165d13b0f9,SAC_232025,2025-11-26 00:00:00+00,Whatsapp,Zazá,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,,Pedido devolvido,,Enviamos novamente,fechada,,,2026-03-26 16:43:29.559+00,2026-02-27 14:38:11.963209+00,2026-03-26 16:43:29.559+00,,
8c9e8237-7056-41a4-a4f7-f580a4af985a,2c0d0375-256b-4dd6-9ed1-9658cead04bb,SAC_272025,2025-12-03 00:00:00+00,,,KIT COMPLETO CD,2054,2025-11-13,SITE COMIDA DE DRAGÃO,Loggi,,PRODUTO,Animal vomitou 4x após comer Mordida Spirulina e Original,Rejeição alimentar,,,fechada,,,2026-02-27 16:56:21.498+00,2026-02-27 14:38:13.628275+00,2026-02-27 16:56:21.498+00,,
487bf953-2a27-4aba-b76f-08a4a8b89ffe,cf8b566e-0576-45f7-abef-eee6a5470b71,,2025-12-08 00:00:00+00,Instagram,Beatriz,ORIGINAL 90G,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,Falha no endereço,Falha no endereço,https://rastreio.frenet.com.br/LOG/JM4XU2SE,Enviamos novamente,fechada,,,2025-12-08 00:00:00+00,2026-02-27 14:38:13.795974+00,2026-02-27 14:38:13.795974+00,,
ca546e84-c45e-494d-8e3b-173508d1920a,446ece35-de3a-4c06-b3b5-da3f49d4a7e3,,2025-12-10 00:00:00+00,Instagram,,SUP. CÃES INTEGRAL,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,,"Produto chegou violado, conteúdo exposto",,Enviamos novamente,fechada,,,2025-12-10 00:00:00+00,2026-02-27 14:38:14.252892+00,2026-02-27 14:38:14.252892+00,,
addcf07e-ad86-44b7-942b-b18d179dd474,680f33fa-13b5-4dfe-836c-d963160181aa,,2025-12-19 00:00:00+00,,,ORIGINAL 90G,,,,Correios,,,,Sem descrição registrada,,,fechada,,,2025-12-19 00:00:00+00,2026-02-27 14:38:14.570603+00,2026-02-27 14:38:14.570603+00,,
0f39d18c-226f-44c4-a74f-b327ee3096f6,4d57ad9c-1ebf-406c-9e3a-806858178764,SAC_302025,2026-01-02 00:00:00+00,Whatsapp,Luana May,ORIGINAL 90G,,,SITE COMIDA DE DRAGÃO,Jadlog,,ENTREGA,INSUCESSO NA ENTREGA - ENDEREÇO,INSUCESSO NA ENTREGA - ENDEREÇO,https://rastreio.frenet.com.br/JAD/546099491,Enviamos novamente,fechada,,,2026-01-02 00:00:00+00,2026-02-27 14:38:15.934122+00,2026-02-27 14:38:15.934122+00,,
5a3374ed-9cf0-43a9-92d6-0d0de625f38f,5c757bf6-53c4-41a3-9e93-97bf9e7cb549,,2026-01-21 00:00:00+00,Whatsapp,Luana May,SUP. CÃES INTEGRAL,,,SITE COMIDA DE DRAGÃO,,,PRODUTO,Produto enviado errado,Produto enviado errado,,Enviamos novamente,fechada,,,2026-01-21 00:00:00+00,2026-02-27 14:38:17.567609+00,2026-02-27 14:38:17.567609+00,,
bdc63b11-3b0b-4b6a-93a6-56d616c7d116,8f0d9b24-198f-4f3a-96b3-817fc02e1dbb,SAC_292025,2026-01-27 00:00:00+00,Instagram,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,Pedido retornou,Pedido retornou - envio do pacote foi interrompido.,https://rastreio.frenet.com.br/LOG/JFBVG3TZ,Enviamos novamente,fechada,,,2026-01-27 00:00:00+00,2026-02-27 14:38:15.520387+00,2026-02-27 14:38:15.520387+00,,
8a3576c1-9a61-4872-b6ea-73deb15118d4,c3e09ccf-f3cf-4e72-8778-3692f690c852,,2026-02-02 00:00:00+00,,,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Jadlog,,ENTREGA,INSUCESSO NA ENTREGA - ENDEREÇO,INSUCESSO NA ENTREGA - ENDEREÇO,https://rastreio.frenet.com.br/JAD/532131472,Enviamos novamente,fechada,,,2026-02-02 00:00:00+00,2026-02-27 14:38:14.866048+00,2026-02-27 14:38:14.866048+00,,
b0ec638f-98a0-456e-98de-e8b8e956d30f,6479943d-3145-47e7-91a8-5a2bc42fe16a,,2026-02-02 00:00:00+00,,,KIT DE AMOSTRAS,,,,,,,,Sem descrição registrada,,,fechada,,,2026-02-02 00:00:00+00,2026-02-27 14:38:14.685385+00,2026-02-27 14:38:14.685385+00,,
05ba46e0-d5ec-4f75-83cf-7337a748cfa9,73316387-a318-4fd9-9e5c-5f0086f8306d,SAC_322025,2026-02-02 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,Objeto não entregue - endereço incorreto,Objeto não entregue - endereço incorreto,https://rastreio.frenet.com.br/COR/AB903488595BR,Enviamos novamente,fechada,,,2026-02-02 00:00:00+00,2026-02-27 14:38:16.371925+00,2026-02-27 14:38:16.371925+00,,
c24ed810-a3f7-4dd5-8d60-1062acf1820a,48420d4e-829f-4ef5-ab33-97217ae1aeb0,,2026-02-03 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,Pedido não entregue,Pedido não entregue - Tivemos um incidente interno.,https://rastreio.frenet.com.br/LOG/NBXTG6KE,Enviamos novamente,fechada,,,2026-03-26 16:43:22.047+00,2026-02-27 14:38:15.266557+00,2026-03-26 16:43:22.047+00,,
dc28fe5b-dbeb-4910-9c1d-c0c13c0507b9,4e73a242-3539-4138-92f6-cdd2bab9213a,SAC_332025,2026-02-06 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,Pedido retornou,Pedido retornou - Inconsistências no endereçamento do objeto.,https://rastreio.frenet.com.br/COR/AB899765349BR,Enviamos novamente,resolvida,,,2026-03-26 19:21:54.041+00,2026-02-27 14:38:16.774345+00,2026-03-26 19:21:54.041+00,,
b5d9d69f-1af3-4933-bb32-6b4ecca74064,7581e511-35f3-4773-8ab4-a55133b44391,SAC_312025,2026-02-06 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,Pedido retornou,Pedido retornou,https://rastreio.frenet.com.br/COR/AB899765278BR,Enviamos novamente,fechada,,,2026-02-06 00:00:00+00,2026-02-27 14:38:16.176081+00,2026-02-27 14:38:16.176081+00,,
51a7de99-52d1-420b-901c-d2750d1414e2,de531354-a97f-4433-a78b-d43dc418063d,SAC_342025,2026-02-06 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,Pedido retornou,Pedido retornou - Objeto não entregue - endereço incorreto,https://rastreio.frenet.com.br/COR/AB926012867BR,Enviamos novamente,fechada,,,2026-03-26 16:43:17.824+00,2026-02-27 14:38:16.968017+00,2026-03-26 16:43:17.824+00,,
0b986f50-36bb-4576-bff5-419647cfabc5,dbb4ee2a-0631-4513-83e9-7b7d617caf11,SAC_352025,2026-02-06 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Correios,,ENTREGA,Objeto não entregue - carteiro não atendido,Objeto não entregue - carteiro não atendido,https://rastreio.frenet.com.br/COR/AB945623549BR,Enviamos novamente,fechada,,,2026-02-06 00:00:00+00,2026-02-27 14:38:17.156541+00,2026-02-27 14:38:17.156541+00,,
03893ebe-f4fc-43b4-82b1-c713b2d96d23,0603d06a-8080-4ce0-8322-f5bd83c06455,SAC_362025,2026-02-06 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,Pedido retornou,Pedido retornou - Tivemos um incidente interno.,https://rastreio.frenet.com.br/LOG/NJHG4YZ2,Enviamos novamente,fechada,,,2026-02-06 00:00:00+00,2026-02-27 14:38:17.428553+00,2026-02-27 14:38:17.428553+00,,
76dd0fe6-0268-4455-b8ed-114b4b5d9fdb,13249838-a4bd-447d-98eb-74697a4a9290,,2026-02-11 00:00:00+00,Whatsapp,Luana May,KIT DE AMOSTRAS,,,SITE COMIDA DE DRAGÃO,Loggi,,ENTREGA,Pedido não entregue,Pedido dado como entregue e destinatário nega entrega,,Enviamos novamente,fechada,,,2026-03-26 16:43:11.934+00,2026-02-27 14:38:17.699435+00,2026-03-26 16:43:11.934+00,,
2b4dadcb-253b-4b13-a45e-347bc6867e8f,924a7ee3-0cf2-47d8-b2f0-8180c09f480e,,2026-02-26 12:00:00+00,Instagram,,,,,online,Correio - Sedex,,,Entrega,"Comprou um original e uma amostra de gato, ela colocou o CEP errado e a transportadora entregou errado. 
n pedido 3644",,"Olivier atualizou o endereço hoje, 27/02 e vai enviar.",resolvida,baixa,,2026-02-27 17:56:54.721+00,2026-02-27 17:54:38.035979+00,2026-02-27 17:56:54.721+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
2c845a48-0ceb-47fd-8476-1a0346ff42dc,4e621644-a007-4dbe-9835-20d4918add66,,2026-02-27 17:59:41.808409+00,whatsapp,Luana e Beatriz,,,,,,,,entrega,Esse cara aqui é perigosoooo! Nos chamou de golpista e continuou com reclamando mesmo depois de atendido.,,,resolvida,media,,2026-03-02 22:27:49.577+00,2026-02-27 17:59:41.808409+00,2026-03-02 22:27:49.577+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
edbd0748-e124-4af7-b2bc-bfb1dae16350,4668ce9b-aa1b-414a-9a1a-5168584ff6ee,,2026-03-02 18:22:21.332802+00,whatsapp,Luana,,,,,,,,outro,cliente notificou que o gato vomitou depois de comer a amostra. número do pedido: 3035,,,fechada,media,,2026-03-02 18:24:31.246+00,2026-03-02 18:22:21.332802+00,2026-03-02 18:24:31.246+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
ed89f4e3-8561-493f-b512-f211764bb186,c85c8cf5-845d-4b75-b8c2-6abc3a203e83,,2026-03-02 18:41:19.125914+00,whatsapp,Luana,,,,,,,,entrega,produto extraviado. Reenviamos as amostras,,,resolvida,media,,2026-03-26 16:43:04.21+00,2026-03-02 18:41:19.125914+00,2026-03-26 16:43:04.21+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
5bca02ed-4eec-459a-b0b9-34f160529cb4,a37fc94f-f90e-4b77-a2a7-6415b9adffbe,,2026-03-10 14:54:10.206573+00,whatsapp,Priscila,Kit de Amostras,,,,,002819,Venda Produção Estabelecimento,entrega,"Cliente com 2 contatos:  
- pedido de amostras retornou e foi reenviado, cliente entrou em contato para saber o status da entrega.  
- Cliente entrou em contato novamente para saber quem recebeu seu pedido, porque no rastreio do correio está como entregue. 

- Verificando informação com correio. - Olivier. ",,,resolvida,media,,2026-03-26 16:42:59.794+00,2026-03-10 14:54:10.206573+00,2026-03-26 16:42:59.794+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
bebd20d4-3f1a-45f1-ac67-2472ad816492,787d4678-dc8d-4f67-ba06-2291f5614b32,,2026-03-10 15:11:50.781017+00,whatsapp,Priscila,Kit de Amostras,,,,Correio,003075,Venda Produção Estabelecimento,entrega,"Cliente entrou em contato para informar que seu pacote ficou retido no Correios e ela não pode ir buscar na localização. 
 
Ação - no rastreio do Correios aparece como endereço insuficiente - confirmei o endereço com a cliente e está correto. 
informei a cliente que iremos tentar contato com Correios para verificar o ocorrido. Mas que normalmente se passar de 7 dias do pacote retido ele irá retornar para a base e fazemos um reenvio do pedido.",,"O pacote não foi retirado no ponto de coleta e foi enviado para o remetente. 
Informei a cliente que iremos reenviar para ela o pacote. que assim que for postado irá receber uma notificação.",fechada,media,,2026-03-17 13:11:03.158+00,2026-03-10 15:11:50.781017+00,2026-03-17 13:11:03.162+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
0637d8c3-300a-44b5-9796-130a23b234bc,08726b74-d6dd-4b24-885a-02721f5c55a8,,2026-03-10 15:17:59.760475+00,instagram,Priscila,Kit de Amostras,,,,,003137,Venda Produção Estabelecimento,outro,"Cliente entrou em contato para informar que a amostra chegou com o prazo de validade vencida. 
- Foi verificado internamente que é um erro da embalagem. A validade correta é 6 meses após a fabricação e estava escrito 2 meses após a fabricação.",,- Informei a cliente que foi um erro de digitação.,resolvida,baixa,,2026-03-10 15:18:43.202+00,2026-03-10 15:17:59.760475+00,2026-03-10 15:18:43.204+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
81e6b2c0-7e6f-45d5-99ed-6229005b240f,22974625-693f-4791-b071-5ef12e7279d5,,2026-03-10 15:32:45.098166+00,whatsapp,Priscila,Comida de Dragão - Original (90g),,,,,003114,Venda Produção Estabelecimento,outro,"Cliente retornou o contato para informar que a introdução não deu certo, que deseja o reembolso e enviar de volta as embalagens fechadas. 
- ofereci um Mordida de Dragão para teste e caso a cachorra goste enviamos outro pacote. Mas a cachorra tem alergia a farinha de trigo e tem na composição do Mordida. 
-Cliente deseja seguir com o reembolso.  ",,,resolvida,media,,2026-03-26 16:42:55.77+00,2026-03-10 15:32:45.098166+00,2026-03-26 16:42:55.77+00,42a35af1-f695-4dab-b120-2c14183b2b6f,
