id,operational_order_id,produto,quantidade,unidade,created_at,lote,valor_unitario
f58ce404-90eb-4386-af86-372dc902d150,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_CAIXA_SEEDING,1,un,2026-03-25 17:34:18.992206+00,,
faa1f507-6e7d-43fb-98c9-2caa99133ea0,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_SUPLEMENTO_INTEGRAL_180G,1,un,2026-03-25 17:34:18.992206+00,,
3eaa9a28-1154-4562-8514-00980898908b,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_ORIGINAL_90G,2,un,2026-03-25 17:34:18.992206+00,,
585dc402-1f7a-461e-8ff5-14d04bfd4dbc,9f32afb8-5adc-4cc7-a3d8-b691a28d8b04,CD_MORDIDA_LEGUMES_180G,1,un,2026-03-25 17:34:18.992206+00,,
3e7f437e-c48a-434d-94ca-1de5bb43967f,b24e9dd2-c30d-4a23-8f00-10e24243cc16,LF_LARVA_DESIDRATADA,56,kg,2026-04-29 19:20:26.237211+00,ROCK042026,32.00
4c521223-365b-4055-b83e-62b1b39a8604,c92e5b7c-fe81-4ba2-885c-68f827916351,CD_KIT_AMOSTRAS,1,un,2026-05-03 16:00:50.376798+00,,
8c0a62bb-9a7a-40dd-a268-8e71ae9aa049,c92e5b7c-fe81-4ba2-885c-68f827916351,CD_MORDIDA_SPIRULINA_180G,1,un,2026-05-03 16:00:50.376798+00,,
e169e717-c58d-46e2-88ba-ffeec6563a0a,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_SUPLEMENTO_GATOS_180G,1,un,2026-03-26 15:13:06.898279+00,,
df33aede-98da-41d8-bfac-1abad30aadd8,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_ORIGINAL_90G,1,un,2026-03-26 15:13:06.898279+00,,
f2db11cd-0e13-4701-864d-d2398de28039,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_MORDIDA_LEGUMES_180G,1,un,2026-03-26 15:13:06.898279+00,,
fb2a97f4-ed04-450c-b2b0-ccec3de5ec9f,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_GRUB_120G,1,un,2026-03-26 15:13:06.898279+00,,
875b31ae-6793-41ea-b2fb-9d5cdabb8084,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_QR_CODE,1,un,2026-03-26 15:13:06.898279+00,,
7a6121d8-6d4e-46c9-8f9c-8304811c82fa,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_INFOGRAFICO,1,un,2026-03-26 15:13:06.898279+00,,
abe345fc-2e01-43b9-a44d-f59b3c409a0b,9aa0acdf-1b59-4dce-917e-ac5200efc826,CD_ADESIVO,1,un,2026-03-26 15:13:06.898279+00,,
4036189c-d9b3-49fc-9a36-8066e5e6a42b,08e55246-75cd-4875-bc3e-e9677d5c9de0,CD_ORIGINAL_90G,30,un,2026-03-26 17:19:04.464026+00,ROCK032026,26.80
